Degree Program,Info from HS Counselor,Info from HS Teacher,Info from IT Website,Info from Admissions,Info from Advisor,Info from Employer,Info from Workforce Development,Info from NJ Workforce Program,Info from Other,Gender,Why Interested in Computing,Interest in More Classes,Open House,Instant Decision Day,On-Campus Info Session,Titans Tuesday,Women Who Dare,Regional College Fair,HS Sharetime Info Session,Challenger Program,CyberSecurity Program,HS Info Session,HS Campus Visit,Individual Campus Visit,Workforce Development Class,Corporate Training,Teen Arts Festival,Summer Camp
Computer Science,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,Yes,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Liberal Arts,,,,,,,,,,Woman,Im really only taking this class for the requirement. im not super interested or even very good with this kind of stuff,1.0,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,Man,,,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Information Technology,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Academy Student,,,,,,,,,,Prefer not to say,To further my knowledge of computing.,4.0,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,No,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Business Administration ,,,,,,,,,,Woman,Computer Science isn't really for me but it helps me with Business. ,1.0,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Not Sure,No,No,No
Liberal arts,,,,,,,,,,Man,I'm taking this course because I need it to graduate ,2.0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
I am still a senior in high school (Morris County School of Technology) and my school offers a program that allows you to attend a CCM class or classes,,,,,,,,,,I do not identify,"I am more interested in doing law in the long run, I would like to practice as a lawyer one day. The program my high school offered did not allow me to do any law classes here, so I thought computer science was something interesting I could do that was available. While it certainly is interesting as I do it now, I still wanna do law in the long run.",2.0,Not Sure,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
Music Recording ,,,,,,,,,,Man,To further my studies in Computer Science and to lead to a positive career path.,5.0,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Information Technology,No,No,Yes,Yes,Yes,No,No,No,Don't recall,Man,,,Yes,No,Yes,Yes,No,Yes,No,No,Not Sure,Not Sure,Not Sure,Yes,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Man,,,Yes,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Bio ,,,,,,,,,,Man,"I'm a bio major and in the field I want to go into computing is not required at all. except, if I wanted to make my own code for a machine or task.",3.0,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,Not Sure,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Man,,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Liberal Arts,,,,,,,,,,Man,Computing seems interesting but then I don't know if I will presume learning it after this class. ,2.0,Yes,Not Sure,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Mechanical engineering technology,,,,,,,,,,Man,"I am interested in learning more about programming, however some parts do not seem important to me",3.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mathematics,,,,,,,,,,Man,"I'd think about taking another computer class, because it's relatively related to my interests. But I am really pursuing courses in pure mathematics.",3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
